Nombre del grupo: Ugxf5czF8iscF8Z49XV4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,75%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,00%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgwoeJwWdLc7FQa-SM14AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    9,54%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    4,62%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   29,54%
Control               C4. Da sugerencia u orientación           4%        11%                    7,08%
Evaluación            C5. Da opiniones                         21%        40%                    8,31%
Comunicación          C6. Da información                       14%        30%                   38,15%
Comunicación          C7. Pide información                      2%        11%                    0,31%
Evaluación            C8. Pide opinión                          1%         9%                    1,23%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,62%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,62%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Ugwuu4uMgMvHcnWYlJ94AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   12,00%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    2,80%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   31,60%
Control               C4. Da sugerencia u orientación           4%        11%                    3,20%
Evaluación            C5. Da opiniones                         21%        40%                   12,80%
Comunicación          C6. Da información                       14%        30%                   36,00%
Comunicación          C7. Pide información                      2%        11%                    0,40%
Evaluación            C8. Pide opinión                          1%         9%                    1,20%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,00%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,00%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Ugxb7dlOgfvwCYbkMxl4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   10,31%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    5,15%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   26,80%
Control               C4. Da sugerencia u orientación           4%        11%                    3,78%
Evaluación            C5. Da opiniones                         21%        40%                    8,25%
Comunicación          C6. Da información                       14%        30%                   40,55%
Comunicación          C7. Pide información                      2%        11%                    0,34%
Evaluación            C8. Pide opinión                          1%         9%                    3,44%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,34%
Decisión              C10. Muestra desacuerdo                   3%        13%                    1,03%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,00%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgzCs3JRy0kjvxLFVO94AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    9,15%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    7,95%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   28,23%
Control               C4. Da sugerencia u orientación           4%        11%                    5,17%
Evaluación            C5. Da opiniones                         21%        40%                    6,96%
Comunicación          C6. Da información                       14%        30%                   38,97%
Comunicación          C7. Pide información                      2%        11%                    0,20%
Evaluación            C8. Pide opinión                          1%         9%                    2,19%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,60%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,60%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgxXc3aR14fNpTqQFmF4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    7,31%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    7,50%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   34,92%
Control               C4. Da sugerencia u orientación           4%        11%                    4,02%
Evaluación            C5. Da opiniones                         21%        40%                    5,30%
Comunicación          C6. Da información                       14%        30%                   34,73%
Comunicación          C7. Pide información                      2%        11%                    2,74%
Evaluación            C8. Pide opinión                          1%         9%                    2,74%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,37%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,37%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgzedtJ5MEQ45pBrstV4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   11,24%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    5,33%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   33,43%
Control               C4. Da sugerencia u orientación           4%        11%                    5,62%
Evaluación            C5. Da opiniones                         21%        40%                    7,99%
Comunicación          C6. Da información                       14%        30%                   29,29%
Comunicación          C7. Pide información                      2%        11%                    1,48%
Evaluación            C8. Pide opinión                          1%         9%                    3,25%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,59%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    1,78%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgyyhqsF9nmn0FTrvrh4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   12,26%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    8,17%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   32,15%
Control               C4. Da sugerencia u orientación           4%        11%                    1,63%
Evaluación            C5. Da opiniones                         21%        40%                    5,72%
Comunicación          C6. Da información                       14%        30%                   36,78%
Comunicación          C7. Pide información                      2%        11%                    0,54%
Evaluación            C8. Pide opinión                          1%         9%                    1,63%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,54%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,54%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgwCjEB6bl_AwX5T6m54AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    9,89%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    4,76%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   33,33%
Control               C4. Da sugerencia u orientación           4%        11%                    4,40%
Evaluación            C5. Da opiniones                         21%        40%                    7,33%
Comunicación          C6. Da información                       14%        30%                   34,43%
Comunicación          C7. Pide información                      2%        11%                    0,00%
Evaluación            C8. Pide opinión                          1%         9%                    4,76%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,37%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,73%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgxbgW9HUHuUTVO1ln94AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   12,11%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                   11,02%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   30,90%
Control               C4. Da sugerencia u orientación           4%        11%                    4,35%
Evaluación            C5. Da opiniones                         21%        40%                    5,28%
Comunicación          C6. Da información                       14%        30%                   32,92%
Comunicación          C7. Pide información                      2%        11%                    0,93%
Evaluación            C8. Pide opinión                          1%         9%                    1,40%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,31%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,78%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgwHCR_D_BpnZYKvZmh4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   14,00%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    4,81%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   31,29%
Control               C4. Da sugerencia u orientación           4%        11%                    2,19%
Evaluación            C5. Da opiniones                         21%        40%                    7,88%
Comunicación          C6. Da información                       14%        30%                   34,79%
Comunicación          C7. Pide información                      2%        11%                    1,09%
Evaluación            C8. Pide opinión                          1%         9%                    2,84%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,22%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,22%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,66%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Ugy1_aS4Hmp99g_JD1B4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    8,70%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    6,65%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   34,53%
Control               C4. Da sugerencia u orientación           4%        11%                    1,53%
Evaluación            C5. Da opiniones                         21%        40%                    8,44%
Comunicación          C6. Da información                       14%        30%                   36,32%
Comunicación          C7. Pide información                      2%        11%                    1,02%
Evaluación            C8. Pide opinión                          1%         9%                    1,79%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,00%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    1,02%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgyCmVm0Zfd9ZDys0Hd4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    8,80%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    4,58%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   21,13%
Control               C4. Da sugerencia u orientación           4%        11%                    5,63%
Evaluación            C5. Da opiniones                         21%        40%                   10,56%
Comunicación          C6. Da información                       14%        30%                   40,85%
Comunicación          C7. Pide información                      2%        11%                    2,46%
Evaluación            C8. Pide opinión                          1%         9%                    2,82%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    1,76%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    1,41%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Ugypv53NUhLJiZC95F54AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    8,40%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    3,63%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   34,92%
Control               C4. Da sugerencia u orientación           4%        11%                    4,39%
Evaluación            C5. Da opiniones                         21%        40%                    5,15%
Comunicación          C6. Da información                       14%        30%                   39,31%
Comunicación          C7. Pide información                      2%        11%                    1,34%
Evaluación            C8. Pide opinión                          1%         9%                    1,91%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,57%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,38%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgynNS_yizsenPUcWx54AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   10,90%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    4,36%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   31,46%
Control               C4. Da sugerencia u orientación           4%        11%                    6,54%
Evaluación            C5. Da opiniones                         21%        40%                    9,03%
Comunicación          C6. Da información                       14%        30%                   32,71%
Comunicación          C7. Pide información                      2%        11%                    1,25%
Evaluación            C8. Pide opinión                          1%         9%                    0,93%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    2,18%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,62%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgwceXI-D-ZGwjPLwKh4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   18,03%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    3,28%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   68,85%
Control               C4. Da sugerencia u orientación           4%        11%                    0,00%
Evaluación            C5. Da opiniones                         21%        40%                    0,00%
Comunicación          C6. Da información                       14%        30%                    8,20%
Comunicación          C7. Pide información                      2%        11%                    1,64%
Evaluación            C8. Pide opinión                          1%         9%                    0,00%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,00%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,00%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgyGGmN2wK-eoo0lLNl4AaABAagBzoPFBg.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    0,00%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    0,00%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   75,00%
Control               C4. Da sugerencia u orientación           4%        11%                    0,00%
Evaluación            C5. Da opiniones                         21%        40%                    0,00%
Comunicación          C6. Da información                       14%        30%                   25,00%
Comunicación          C7. Pide información                      2%        11%                    0,00%
Evaluación            C8. Pide opinión                          1%         9%                    0,00%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,00%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,00%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgwUhPOzBdQZJBUXOdV4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   10,87%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                   17,08%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   35,20%
Control               C4. Da sugerencia u orientación           4%        11%                    3,16%
Evaluación            C5. Da opiniones                         21%        40%                    3,00%
Comunicación          C6. Da información                       14%        30%                   27,54%
Comunicación          C7. Pide información                      2%        11%                    0,72%
Evaluación            C8. Pide opinión                          1%         9%                    1,04%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    1,09%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,31%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgzyZYlkyMkZeK079XF4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   11,27%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    5,09%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   36,36%
Control               C4. Da sugerencia u orientación           4%        11%                    4,73%
Evaluación            C5. Da opiniones                         21%        40%                    4,36%
Comunicación          C6. Da información                       14%        30%                   35,27%
Comunicación          C7. Pide información                      2%        11%                    0,00%
Evaluación            C8. Pide opinión                          1%         9%                    1,82%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,36%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,36%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,36%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgzuG0Fh017UsZAH4SF4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   10,42%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    9,44%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   36,91%
Control               C4. Da sugerencia u orientación           4%        11%                    3,78%
Evaluación            C5. Da opiniones                         21%        40%                    5,34%
Comunicación          C6. Da información                       14%        30%                   31,32%
Comunicación          C7. Pide información                      2%        11%                    0,98%
Evaluación            C8. Pide opinión                          1%         9%                    0,72%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,85%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,26%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Ugy3TRQua6ZdMNpIzxF4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   11,07%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    6,51%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   50,80%
Control               C4. Da sugerencia u orientación           4%        11%                    2,17%
Evaluación            C5. Da opiniones                         21%        40%                    4,45%
Comunicación          C6. Da información                       14%        30%                   22,72%
Comunicación          C7. Pide información                      2%        11%                    0,23%
Evaluación            C8. Pide opinión                          1%         9%                    1,03%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,80%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,23%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgzZXYthIGq3J-_pX5R4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   12,21%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    4,96%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   49,43%
Control               C4. Da sugerencia u orientación           4%        11%                    3,24%
Evaluación            C5. Da opiniones                         21%        40%                    2,67%
Comunicación          C6. Da información                       14%        30%                   25,57%
Comunicación          C7. Pide información                      2%        11%                    0,76%
Evaluación            C8. Pide opinión                          1%         9%                    0,76%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,19%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,19%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgyxmGR-Y6ul7L__iSx4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   19,88%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                   10,53%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   36,84%
Control               C4. Da sugerencia u orientación           4%        11%                    4,68%
Evaluación            C5. Da opiniones                         21%        40%                    4,09%
Comunicación          C6. Da información                       14%        30%                   18,71%
Comunicación          C7. Pide información                      2%        11%                    0,00%
Evaluación            C8. Pide opinión                          1%         9%                    4,09%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,00%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    1,17%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Ugy1k3aCJXX6oJdDYNh4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    8,90%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    7,51%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   48,47%
Control               C4. Da sugerencia u orientación           4%        11%                    2,25%
Evaluación            C5. Da opiniones                         21%        40%                    2,82%
Comunicación          C6. Da información                       14%        30%                   27,60%
Comunicación          C7. Pide información                      2%        11%                    0,45%
Evaluación            C8. Pide opinión                          1%         9%                    1,02%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,65%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,33%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgyvhaeInwBa1VJzUed4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   11,18%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    4,93%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   36,84%
Control               C4. Da sugerencia u orientación           4%        11%                    1,97%
Evaluación            C5. Da opiniones                         21%        40%                    3,95%
Comunicación          C6. Da información                       14%        30%                   37,83%
Comunicación          C7. Pide información                      2%        11%                    1,64%
Evaluación            C8. Pide opinión                          1%         9%                    1,32%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,33%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,00%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Ugx1vJeVa0M5cIKvcLt4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   10,42%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                   13,38%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   34,23%
Control               C4. Da sugerencia u orientación           4%        11%                    4,51%
Evaluación            C5. Da opiniones                         21%        40%                    3,38%
Comunicación          C6. Da información                       14%        30%                   31,13%
Comunicación          C7. Pide información                      2%        11%                    0,28%
Evaluación            C8. Pide opinión                          1%         9%                    0,70%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    1,41%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,56%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: Ugzb9htOSDboXdOTNpl4AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                    8,05%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    8,28%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   57,01%
Control               C4. Da sugerencia u orientación           4%        11%                    1,15%
Evaluación            C5. Da opiniones                         21%        40%                    2,76%
Comunicación          C6. Da información                       14%        30%                   20,00%
Comunicación          C7. Pide información                      2%        11%                    0,92%
Evaluación            C8. Pide opinión                          1%         9%                    1,61%
Control               C9. Pide sugerencia u orientación         0%         5%                    0,00%
Decisión              C10. Muestra desacuerdo                   3%        13%                    0,23%
Reducción de tensión  C11. Muestra tensión o molestia           1%        10%                    0,00%
Reintegración         C12. Muestra antagonismo                  0%         7%                    0,00%


Nombre del grupo: UgzIPplOYQT1Bc6HZk94AaABAQ.arff

Conflicto             Conducta                           Lím. Inf.  Lím. Sup.   Resultado del análisis
Reintegración         C1. Muestra solidaridad                   0%         5%                   10,85%
Reducción de tensión  C2. Muestra relajamiento                  3%        14%                    5,29%
Decisión              C3. Muestra acuerdo o aprueba             6%        20%                   52,91%
Control               C4. Da sugerencia u orientación           4%        11%                    1,32%
Evaluación            C5. Da opiniones                         21%        40%                    2,12%
Comunicación          C6. Da información                       14%        30%                   26,46%
